as_of,country,cons_gdp,net_mcap_usdm_gdp,weight_gdp_pct,cons_mcap,net_mcap_usdm_mcap,weight_mcap_pct
2026-07-31,Australia,105,1060680,1.08,105,1687922,1.62
2026-07-31,Austria,9,403627,0.41,9,87389,0.08
2026-07-31,Belgium,14,484934,0.49,14,262394,0.25
2026-07-31,Brazil,66,2577852,2.61,66,468457,0.45
2026-07-31,Canada,85,1445695,1.47,85,3098729,2.97
2026-07-31,Chile,21,374376,0.38,21,72638,0.07
2026-07-31,China,1269,22664436,22.98,1278,2940523,2.82
2026-07-31,Colombia,6,863191,0.88,6,28400,0.03
2026-07-31,Czech Rep.,4,358452,0.36,4,15567,0.01
2026-07-31,Denmark,17,289713,0.29,17,365364,0.35
2026-07-31,Egypt,2,1648930,1.67,2,8601,0.01
2026-07-31,Finland,14,192216,0.19,14,254709,0.24
2026-07-31,France,57,2329362,2.36,57,2161938,2.07
2026-07-31,Germany,63,3136692,3.18,63,1964025,1.88
2026-07-31,Greece,30,286529,0.29,30,91836,0.09
2026-07-31,Hong Kong,66,319649,0.32,66,501455,0.48
2026-07-31,Hungary,6,307035,0.31,6,47930,0.05
2026-07-31,Iceland,7,17155,0.02,7,7139,0.01
2026-07-31,India,273,11443726,11.60,279,1697348,1.63
2026-07-31,Indonesia,36,1860324,1.89,36,72694,0.07
2026-07-31,Ireland,5,472223,0.48,5,81184,0.08
2026-07-31,Israel,44,309249,0.31,44,316335,0.30
2026-07-31,Italy,36,2085382,2.11,36,839907,0.80
2026-07-31,Japan,474,3598917,3.65,475,6212544,5.95
2026-07-31,Korea,155,2545691,2.58,155,2517868,2.41
2026-07-31,Kuwait,8,149181,0.15,8,70583,0.07
2026-07-31,Malaysia,38,835338,0.85,38,165498,0.16
2026-07-31,Mexico,34,1767691,1.79,34,238734,0.23
2026-07-31,Netherlands,29,859018,0.87,29,1199141,1.15
2026-07-31,New Zealand,11,161201,0.16,11,53080,0.05
2026-07-31,Norway,15,313710,0.32,15,146510,0.14
2026-07-31,Philippines,23,924809,0.94,23,46271,0.04
2026-07-31,Poland,10,1290055,1.31,10,117934,0.11
2026-07-31,Portugal,5,289235,0.29,5,45011,0.04
2026-07-31,Qatar,17,210427,0.21,17,65286,0.06
2026-07-31,Romania,6,627834,0.64,6,15792,0.02
2026-07-31,Saudi Arabia,64,1488494,1.51,64,330152,0.32
2026-07-31,Singapore,36,599472,0.61,36,391905,0.38
2026-07-31,South Africa,41,455983,0.46,41,387576,0.37
2026-07-31,Spain,24,1656023,1.68,24,913080,0.87
2026-07-31,Sweden,54,401170,0.41,54,751676,0.72
2026-07-31,Switzerland,50,458603,0.47,50,2128747,2.04
2026-07-31,Taiwan,132,1408655,1.43,132,3305947,3.17
2026-07-31,Thailand,44,1074293,1.09,44,164909,0.16
2026-07-31,Turkiye,115,2140732,2.17,115,102455,0.10
2026-07-31,UAE,34,519444,0.53,34,168741,0.16
2026-07-31,UK,93,2349565,2.38,93,3421257,3.28
2026-07-31,USA,500,17554951,17.80,502,64394309,61.66
