as_of,issue,index,currency,country,cons,net_mcap,weight_pct
2026-07-31,AWALLE,FTSE Emerging,USD,Brazil,66,468457,4.46
2026-07-31,AWALLE,FTSE Emerging,USD,Chile,21,72638,0.69
2026-07-31,AWALLE,FTSE Emerging,USD,China,1278,2940523,27.97
2026-07-31,AWALLE,FTSE Emerging,USD,Colombia,6,28400,0.27
2026-07-31,AWALLE,FTSE Emerging,USD,Czech Rep.,4,15567,0.15
2026-07-31,AWALLE,FTSE Emerging,USD,Egypt,2,8601,0.08
2026-07-31,AWALLE,FTSE Emerging,USD,Greece,30,91836,0.87
2026-07-31,AWALLE,FTSE Emerging,USD,Hungary,6,47930,0.46
2026-07-31,AWALLE,FTSE Emerging,USD,Iceland,7,7139,0.07
2026-07-31,AWALLE,FTSE Emerging,USD,India,279,1697348,16.15
2026-07-31,AWALLE,FTSE Emerging,USD,Indonesia,36,72694,0.69
2026-07-31,AWALLE,FTSE Emerging,USD,Kuwait,8,70583,0.67
2026-07-31,AWALLE,FTSE Emerging,USD,Malaysia,38,165498,1.57
2026-07-31,AWALLE,FTSE Emerging,USD,Mexico,34,238734,2.27
2026-07-31,AWALLE,FTSE Emerging,USD,Philippines,23,46271,0.44
2026-07-31,AWALLE,FTSE Emerging,USD,Qatar,17,65286,0.62
2026-07-31,AWALLE,FTSE Emerging,USD,Romania,6,15792,0.15
2026-07-31,AWALLE,FTSE Emerging,USD,Saudi Arabia,64,330152,3.14
2026-07-31,AWALLE,FTSE Emerging,USD,South Africa,41,387576,3.69
2026-07-31,AWALLE,FTSE Emerging,USD,Taiwan,132,3305947,31.45
2026-07-31,AWALLE,FTSE Emerging,USD,Thailand,44,164909,1.57
2026-07-31,AWALLE,FTSE Emerging,USD,Turkiye,115,102455,0.97
2026-07-31,AWALLE,FTSE Emerging,USD,UAE,34,168741,1.61
