as_of,issue,index,currency,country,cons,net_mcap,weight_pct
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Austria,9,75954,0.59
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Belgium,14,228059,1.78
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Denmark,17,317556,2.48
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Finland,14,221381,1.73
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,France,57,1879048,14.67
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Germany,63,1707031,13.32
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Ireland,5,70561,0.55
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Italy,36,730005,5.70
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Netherlands,29,1042233,8.14
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Norway,15,127339,0.99
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Poland,10,102503,0.80
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Portugal,5,39121,0.31
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Spain,24,793603,6.19
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Sweden,54,653319,5.10
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,Switzerland,50,1850200,14.44
2026-07-31,AWDEURS,FTSE Developed Europe,EUR,UK,93,2973584,23.21
