as_of,country,weight_mcap_pct,weight_gdp_pct,target_weight_pct,cumulative_pct,delta_vs_prev_pp
2026-07-31,USA,61.66,17.80,39.73,39.73,
2026-07-31,China,2.82,22.98,12.90,52.63,
2026-07-31,India,1.63,11.60,6.62,59.25,
2026-07-31,Japan,5.95,3.65,4.80,64.05,
2026-07-31,UK,3.28,2.38,2.83,66.88,
2026-07-31,Germany,1.88,3.18,2.53,69.41,
2026-07-31,Korea,2.41,2.58,2.50,71.90,
2026-07-31,Taiwan,3.17,1.43,2.30,74.20,
2026-07-31,Canada,2.97,1.47,2.22,76.42,
2026-07-31,France,2.07,2.36,2.22,78.64,
2026-07-31,Brazil,0.45,2.61,1.53,80.17,
2026-07-31,Italy,0.80,2.11,1.46,81.62,
2026-07-31,Australia,1.62,1.08,1.35,82.97,
2026-07-31,Spain,0.87,1.68,1.28,84.25,
2026-07-31,Switzerland,2.04,0.47,1.26,85.50,
2026-07-31,Turkiye,0.10,2.17,1.14,86.64,
2026-07-31,Mexico,0.23,1.79,1.01,87.65,
2026-07-31,Netherlands,1.15,0.87,1.01,88.66,
2026-07-31,Indonesia,0.07,1.89,0.98,89.64,
2026-07-31,Saudi Arabia,0.32,1.51,0.92,90.55,
2026-07-31,Egypt,0.01,1.67,0.84,91.39,
2026-07-31,Poland,0.11,1.31,0.71,92.10,
2026-07-31,Thailand,0.16,1.09,0.63,92.73,
2026-07-31,Sweden,0.72,0.41,0.57,93.29,
2026-07-31,Malaysia,0.16,0.85,0.51,93.80,
2026-07-31,Singapore,0.38,0.61,0.50,94.29,
2026-07-31,Philippines,0.04,0.94,0.49,94.78,
2026-07-31,Colombia,0.03,0.88,0.46,95.24,
2026-07-31,South Africa,0.37,0.46,0.42,95.65,
2026-07-31,Hong Kong,0.48,0.32,0.40,96.05,
2026-07-31,Belgium,0.25,0.49,0.37,96.42,
2026-07-31,UAE,0.16,0.53,0.35,96.77,
2026-07-31,Romania,0.02,0.64,0.33,97.10,
2026-07-31,Denmark,0.35,0.29,0.32,97.42,
2026-07-31,Israel,0.30,0.31,0.31,97.72,
2026-07-31,Ireland,0.08,0.48,0.28,98.00,
2026-07-31,Austria,0.08,0.41,0.25,98.25,
2026-07-31,Norway,0.14,0.32,0.23,98.48,
2026-07-31,Chile,0.07,0.38,0.23,98.70,
2026-07-31,Finland,0.24,0.19,0.22,98.92,
2026-07-31,Greece,0.09,0.29,0.19,99.11,
2026-07-31,Czech Rep.,0.01,0.36,0.19,99.29,
2026-07-31,Hungary,0.05,0.31,0.18,99.47,
2026-07-31,Portugal,0.04,0.29,0.17,99.64,
2026-07-31,Qatar,0.06,0.21,0.14,99.77,
2026-07-31,Kuwait,0.07,0.15,0.11,99.88,
2026-07-31,New Zealand,0.05,0.16,0.11,99.99,
2026-07-31,Iceland,0.01,0.02,0.02,100.00,
